node_id,funn_id,opprinnelig_funn_id,kildested,dokumentert_status,påstand,lag_og_backend,strict,raises,forutsetninger,kommando_og_logg,observert_utfall,første_feilsted,målassertion_nådd,bevisstatus,foreslått_tiltak,registrert_status_2026-09-22,kategori_2026-09-22,merknad_2026-09-22
tests/test_security/test_maalskjema_20260920.py::test_parsegrensen_avviser_klientoppgitt_aktor,MG-03,MG-03,backend/tests/test_security/test_maalskjema_20260920.py:198-234,Åpen,"parse_event_from_request avviser event_id og tidsstempel, men ikke aktor_id; forsvar i dybden mangler.",Parser / Model boundary (models/events.py:parse_event_from_request),True,AssertionError,"Kall til parse_event_from_request med payload som inneholder ""aktor_id"".",pytest -v tests/test_security/test_maalskjema_20260920.py::test_parsegrensen_avviser_klientoppgitt_aktor --runxfail; docs/vedlegg/testbevis-2026-09-22/26_tests_test_security_test_maalskjema_20260920__test_parsegrensen_avviser_klientoppgitt_aktor.log,Exit 1. Fails at line 233 on assert avvist (funksjonen godtok klientoppgitt aktor_id).,backend/tests/test_security/test_maalskjema_20260920.py:233,True,Reprodusert brudd,"Utvid forbidden_fields i parse_event_from_request til å inkludere aktor_id, aktor_rolle og aktor_team_id.",Åpen,Åpent funn – latent eller forsvar i dybden,Forsvar i dybden: eksisterende ruter overskriver aktørfeltene fra sesjonen. Klientforfalskning er ikke påvist.
tests/test_security/test_observability_audit_20260918.py::test_403_avvisning_omgar_errorhandler_og_audit_logging,OBS-01 / OBS-02,OBS-02,backend/tests/test_security/test_observability_audit_20260918.py:34-73,Åpen,"Ruter returnerer 'jsonify(), 403' direkte, så @app.errorhandler(403) og audit trigges aldri.",Route / Error handling (routes/event_routes.py),True,AssertionError,Uautorisert kall til beskyttet rute; errorhandler(403) registrert på Flask-appen.,pytest -v tests/test_security/test_observability_audit_20260918.py::test_403_avvisning_omgar_errorhandler_og_audit_logging --runxfail; docs/vedlegg/testbevis-2026-09-22/27_tests_test_security_test_observability_audit_20260918__test_403_avvisning_omgar_errorhandler_og_audit_logging.log,Exit 1. Fails at line 71 on assert audit_called and errorhandler_called.,backend/tests/test_security/test_observability_audit_20260918.py:71,True,Reprodusert brudd,"Bruk abort(403, ...) eller kalle felles feilhåndterer/audit-logger eksplisitt ved avvisninger.","Åpen, høy",Åpent funn – reprodusert kjøretidsbrudd,"Testfila dekker OBS-01/02, som er ett funn etter vurderingen 19.09."
tests/test_security/test_observability_audit_20260918.py::test_cloudevents_ce_time_korrumperer_tidssone_med_to_timer,OBS-03,OBS-03,backend/tests/test_security/test_observability_audit_20260918.py:75-121,Åpen,OBS-03: ce_time kutter offset med .split('+')[0] og merker verdien som UTC. Ingen forskyvning inntreffer; norsk sommertid korrumperes med 2 timer.,Model / Serializer (models/events.py:CloudEventMixin),True,AssertionError,Hendelse med tidssone +02:00 eksporteres til CloudEvents.,pytest -v tests/test_security/test_observability_audit_20260918.py::test_cloudevents_ce_time_korrumperer_tidssone_med_to_timer --runxfail; docs/vedlegg/testbevis-2026-09-22/28_tests_test_security_test_observability_audit_20260918__test_cloudevents_ce_time_korrumperer_tidssone_med_to_timer.log,"Exit 1. Fails at line 117 on assert ce_time == ""2026-06-15T10:00:00Z"" (fikk 2026-06-15T12:00:00Z).",backend/tests/test_security/test_observability_audit_20260918.py:117,True,Reprodusert brudd,Bruk datetime.astimezone(timezone.utc) før ISO 8601-formatering i CloudEventMixin.,"Åpen, lav (latent)",Åpent funn – latent eller forsvar i dybden,"Testen konstruerer +02:00. Tidsstempler er servergenerert UTC, så forskyvningen inntreffer ikke i dag (19.09; testens reason sier det samme)."
tests/test_security/test_observability_audit_20260918.py::test_hendelser_mangler_request_id_og_sporbarhet,OBS-05,OBS-04,backend/tests/test_security/test_observability_audit_20260918.py:123-181,Åpen,SakEvent og CloudEventMixin har ingen felter for request_id eller traceparent.,"Model (models/events.py:SakEvent), Model-inspeksjon",True,AssertionError,Inspeksjon av feltnavn i SakEvent.model_fields.,pytest -v tests/test_security/test_observability_audit_20260918.py::test_hendelser_mangler_request_id_og_sporbarhet --runxfail; docs/vedlegg/testbevis-2026-09-22/29_tests_test_security_test_observability_audit_20260918__test_hendelser_mangler_request_id_og_sporbarhet.log,Exit 1. Fails at line 179 on assert has_request_id and has_traceparent.,backend/tests/test_security/test_observability_audit_20260918.py:179,True,Statisk belegg,"Utvid hendelsesskjemaet med valgfrie korrelasjonsfelter (request_id, traceparent).",Åpen,Åpent funn – statisk belegg,ID rettet fra OBS-04: testfila og auditen sier OBS-05. OBS-04 (ce_source) er lukket 20.09.
tests/test_security/test_observability_audit_20260918.py::test_request_context_aksepterer_vilkarlig_header_uten_sanitering,OBS-06,OBS-01,backend/tests/test_security/test_observability_audit_20260918.py:183-226,Åpen,request_context aksepterer usensurert X-Request-ID fra klient (sårbar for logginjeksjon).,Middleware / Context (utils/request_context.py),True,AssertionError,Request med X-Request-ID på 1028 tegn og linjeskift.,pytest -v tests/test_security/test_observability_audit_20260918.py::test_request_context_aksepterer_vilkarlig_header_uten_sanitering --runxfail; docs/vedlegg/testbevis-2026-09-22/30_tests_test_security_test_observability_audit_20260918__test_request_context_aksepterer_vilkarlig_header_uten_sanitering.log,Exit 1. Fails at line 224 on assert len(req_id) <= 64.,backend/tests/test_security/test_observability_audit_20260918.py:224,True,Reprodusert brudd,Saniter og lengdebegrens (f.eks. maks 64 alfanumeriske tegn / UUID) X-Request-ID i request_context.,Åpen,Åpent funn – reprodusert kjøretidsbrudd,ID rettet fra OBS-01: testfila og auditen sier OBS-06.
tests/test_security/test_observability_audit_20260918.py::test_unhandled_exception_lekker_detaljer_i_debug_modus,OBS-07,OBS-05,backend/tests/test_security/test_observability_audit_20260918.py:228-267,Åpen,handle_unexpected_error lekker rå 'str(e)' i JSON-respons når app.debug=True.,Error handler (app.py),True,AssertionError,"app.debug = True, uhåndtert feil oppstår i en rute.",pytest -v tests/test_security/test_observability_audit_20260918.py::test_unhandled_exception_lekker_detaljer_i_debug_modus --runxfail; docs/vedlegg/testbevis-2026-09-22/31_tests_test_security_test_observability_audit_20260918__test_unhandled_exception_lekker_detaljer_i_debug_modus.log,"Exit 1. Fails at line 264 on assert not any(sensitive in data.get(""detail"", """") ...).",backend/tests/test_security/test_observability_audit_20260918.py:264,True,Reprodusert brudd,Skjul interne feildetaljer i API-responser også i debug-modus; behold detaljene i interne logger.,Åpen,Åpent funn – reprodusert kjøretidsbrudd,ID rettet fra OBS-05: testfila og auditen sier OBS-07. Samme familie som RV-13; gjelder bare app.debug.
tests/test_security/test_testsuite_blindsoner_audit_20260918.py::test_tst_01_manglende_integrasjon_full_kjede_krasjer_uten_mocks,TST-01,TST-01,backend/tests/test_security/test_testsuite_blindsoner_audit_20260918.py:27-46,Åpen,TST-01: SakMetadataRepository (CSV) mangler list_by_sakstype; isolert mocking skjuler at /api/cases?sakstype= krasjer.,"Repository (SakMetadataRepository, CSV), Metodesjekk",True,AssertionError,"Attributtsjekk hasattr(repo, ""list_by_sakstype"").",pytest -v tests/test_security/test_testsuite_blindsoner_audit_20260918.py::test_tst_01_manglende_integrasjon_full_kjede_krasjer_uten_mocks --runxfail; docs/vedlegg/testbevis-2026-09-22/32_tests_test_security_test_testsuite_blindsoner_audit_20260918__test_tst_01_manglende_integrasjon_full_kjede_krasjer_uten_mocks.log,"Exit 1. Fails at line 41 on assert hasattr(repo, ""list_by_sakstype"").",backend/tests/test_security/test_testsuite_blindsoner_audit_20260918.py:41,True,Statisk belegg,Implementer metoden eller saner bort CSV-backend i tråd med arkitekturplanen.,Åpen,Åpent funn – statisk belegg,Samme mekanisme som rad 3 (AUT-04).
tests/test_security/test_testsuite_blindsoner_audit_20260918.py::test_tst_02_samtidig_saksopprettelse_krasjer_eller_overskriver_uten_concurrency_error,TST-02 / KR-15,TST-02 / KR-15,backend/tests/test_security/test_testsuite_blindsoner_audit_20260918.py:48-96,Åpen,TST-02: JsonFileEventRepository mangler låsing ved expected_version=0; samtidig opprettelse krasjer med FileNotFoundError eller overskriver.,"Repository (JsonFileEventRepository), Fillsystem",True,AssertionError,"To tråder kaller append_batch([ev], expected_version=0) for samme sak_id samtidig.",pytest -v tests/test_security/test_testsuite_blindsoner_audit_20260918.py::test_tst_02_samtidig_saksopprettelse_krasjer_eller_overskriver_uten_concurrency_error --runxfail; docs/vedlegg/testbevis-2026-09-22/33_tests_test_security_test_testsuite_blindsoner_audit_20260918__test_tst_02_samtidig_saksopprettelse_krasjer_eller_overskriver_uten_concurrency_error.log,Exit 1. Fails at line 91 on assert has_concurrency_error (tråder krasjet med FileNotFoundError).,backend/tests/test_security/test_testsuite_blindsoner_audit_20260918.py:91,True,Reprodusert brudd,Bruk unik temp-fil og atomisk opprettelsesflagg (O_CREAT | O_EXCL) eller låsefil for JsonFileEventRepository ved versjon 0.,Åpen (bare JSON-lageret),Åpent funn – reprodusert kjøretidsbrudd,Reproduksjonen er et kappløp. Den nye testen i test_audit_testbevis_20260922 er ikke deterministisk (RTB-02). Behold strict=True. T-4.
tests/test_security/test_testsuite_blindsoner_audit_20260918.py::test_tst_03_tracking_unit_of_work_ruller_ikke_tilbake_hendelser,AP-04 / AR-06 / TST-03,AP-04 / AR-06 / TST-03,backend/tests/test_security/test_testsuite_blindsoner_audit_20260918.py:98-135,Åpen,TST-03: TrackingUnitOfWork ruller ikke tilbake hendelser; event append er no-op i rollback og gir falsk transaksjonssikkerhet.,"Core / UoW (TrackingUnitOfWork), JsonFileEventRepository",True,AssertionError,Exception kastes inne i with uow:-blokk etter uow.events.append(...).,pytest -v tests/test_security/test_testsuite_blindsoner_audit_20260918.py::test_tst_03_tracking_unit_of_work_ruller_ikke_tilbake_hendelser --runxfail; docs/vedlegg/testbevis-2026-09-22/34_tests_test_security_test_testsuite_blindsoner_audit_20260918__test_tst_03_tracking_unit_of_work_ruller_ikke_tilbake_hendelser.log,Exit 1. Fails at line 130 on assert len(events) == 0 and version == 0 (hendelsen forble persistert).,backend/tests/test_security/test_testsuite_blindsoner_audit_20260918.py:130,True,Reprodusert brudd,Erstatt TrackingUnitOfWork med ekte databasetransaksjoner (PostgreSQL RPC / atomisk funksjon) i produksjonsstien.,"Åpen, høy",Åpent funn – reprodusert kjøretidsbrudd,Samme sak som rad 1.
tests/test_security/test_testsuite_blindsoner_audit_20260918.py::test_tst_04_openapi_spec_mangler_og_er_ikke_i_synk,TST-04,TST-04,backend/tests/test_security/test_testsuite_blindsoner_audit_20260918.py:137-155,Åpen,TST-04: backend/docs/openapi.yaml eksisterer ikke; fullstendig fravær av kontraktstesting mellom frontend og backend.,Filstruktur / Kontrakt,True,AssertionError,Filen backend/docs/openapi.yaml må eksistere.,pytest -v tests/test_security/test_testsuite_blindsoner_audit_20260918.py::test_tst_04_openapi_spec_mangler_og_er_ikke_i_synk --runxfail; docs/vedlegg/testbevis-2026-09-22/35_tests_test_security_test_testsuite_blindsoner_audit_20260918__test_tst_04_openapi_spec_mangler_og_er_ikke_i_synk.log,Exit 1. Fails at line 150 on assert spec_path.exists().,backend/tests/test_security/test_testsuite_blindsoner_audit_20260918.py:150,True,Statisk belegg,"Etabler OpenAPI-spesifikasjon generert fra Pydantic/Flask-ruter, eller oppdater CI-sjekk.",Åpen,Åpent funn – statisk belegg,
tests/test_security/test_testsuite_blindsoner_audit_20260918.py::test_tst_05_endringsordre_svelger_catenda_brudd_uten_outbox,TST-05,TST-05,backend/tests/test_security/test_testsuite_blindsoner_audit_20260918.py:157-187,Åpen,TST-05: EndringsordreService har ingen outbox eller gjenopprettingsmekanisme når Catenda feiler.,"Service (EndringsordreService), Attributtsjekk",True,AssertionError,"Attributtsjekk hasattr(service, ""outbox_repository"") or hasattr(service, ""retry_unsynced_orders"").",pytest -v tests/test_security/test_testsuite_blindsoner_audit_20260918.py::test_tst_05_endringsordre_svelger_catenda_brudd_uten_outbox --runxfail; docs/vedlegg/testbevis-2026-09-22/36_tests_test_security_test_testsuite_blindsoner_audit_20260918__test_tst_05_endringsordre_svelger_catenda_brudd_uten_outbox.log,"Exit 1. Fails at line 182 on assert hasattr(service, ""outbox_repository"") or ...",backend/tests/test_security/test_testsuite_blindsoner_audit_20260918.py:182,True,Statisk belegg,Implementer en generell utgående leveringskø (outbox) for asynkron og robust Catenda-synkronisering.,Åpen,Åpent funn – statisk belegg,Løses i F2.
tests/test_security/test_testsuite_blindsoner_audit_20260918.py::test_tst_06_metodeavvik_og_driftsgap_mellom_json_csv_og_supabase_repos,TST-06,TST-06,backend/tests/test_security/test_testsuite_blindsoner_audit_20260918.py:189-219,Åpen,TST-06: JsonFileEventRepository mangler get_all_sak_ids; grensesnittavvik mot SupabaseEventRepository.,"Repository (JsonFileEventRepository), Grensesnittsjekk",True,AssertionError,"Attributtsjekk hasattr(json_repo, ""get_all_sak_ids"").",pytest -v tests/test_security/test_testsuite_blindsoner_audit_20260918.py::test_tst_06_metodeavvik_og_driftsgap_mellom_json_csv_og_supabase_repos --runxfail; docs/vedlegg/testbevis-2026-09-22/37_tests_test_security_test_testsuite_blindsoner_audit_20260918__test_tst_06_metodeavvik_og_driftsgap_mellom_json_csv_og_supabase_repos.log,"Exit 1. Fails at line 205 on assert hasattr(json_repo, ""get_all_sak_ids"").",backend/tests/test_security/test_testsuite_blindsoner_audit_20260918.py:205,True,Statisk belegg,"Formaliser et felles grensesnitt/ABC for alle repository-implementasjoner, eller saner reservebackend.",Åpen,Åpent funn – statisk belegg,
tests/test_security/test_testsuite_blindsoner_audit_20260918.py::test_tst_07_frontend_komponenter_mangler_tester,TST-07,TST-07,backend/tests/test_security/test_testsuite_blindsoner_audit_20260918.py:221-247,Åpen,"TST-07: 58 av 87 (66.7%) Svelte-komponenter mangler tester, inkludert alle rutesider og store modaler.",Frontend filtelling,True,AssertionError,Telling av .svelte-filer mot .test.ts-filer i src/.,pytest -v tests/test_security/test_testsuite_blindsoner_audit_20260918.py::test_tst_07_frontend_komponenter_mangler_tester --runxfail; docs/vedlegg/testbevis-2026-09-22/38_tests_test_security_test_testsuite_blindsoner_audit_20260918__test_tst_07_frontend_komponenter_mangler_tester.log,Exit 1. Fails at line 238 on assert len(untested) <= max_untested (fikk 58 utestede > 10).,backend/tests/test_security/test_testsuite_blindsoner_audit_20260918.py:238,True,Statisk belegg,"Skriv komponenttester for sentrale brukerflyter (modaler, skjemaer, tidslinjevisning).",Åpen,Åpent funn – statisk belegg,Tallene er fra 18.09.
tests/test_security/test_tilstand_forretningsregler_audit_20260918.py::test_overordnet_status_gir_ingen_aktive_spor_for_forsering,TFR-02,FR-01,backend/tests/test_security/test_tilstand_forretningsregler_audit_20260918.py:421-463,Åpen,overordnet_status sjekker kun standardspor og gir INGEN_AKTIVE_SPOR for forsering og EO.,Domain / State rollup (models/sak_state.py:overordnet_status),True,AssertionError,Sak med forseringshendelser (ForseringAkseptertEvent).,pytest -v tests/test_security/test_tilstand_forretningsregler_audit_20260918.py::test_overordnet_status_gir_ingen_aktive_spor_for_forsering --runxfail; docs/vedlegg/testbevis-2026-09-22/39_tests_test_security_test_tilstand_forretningsregler_audit_20260918__test_overordnet_status_gir_ingen_aktive_spor_for_forsering.log,Exit 1. Fails at line 460 on assert state.overordnet_status != OverordnetStatus.INGEN_AKTIVE_SPOR.,backend/tests/test_security/test_tilstand_forretningsregler_audit_20260918.py:460,True,Reprodusert brudd,Utvid overordnet_status i sak_state.py til å inkludere forserings- og endringsordrestatuser.,Åpen,Åpent funn – reprodusert kjøretidsbrudd,ID rettet fra FR-01 (RTB-01).
tests/test_security/test_tilstand_forretningsregler_audit_20260918.py::test_vederlag_krav_trukket_blokkeres_ved_subsidiaer_enighet,TFR-03,FR-02,backend/tests/test_security/test_tilstand_forretningsregler_audit_20260918.py:512-564,Åpen,Beregningsstatus GODKJENT blokkerer tilbaketrekking selv når kravet prinsipalt er avslått.,Business rules (services/business_rules.py),True,AssertionError,"Vederlagskrav prinsipalt avslått, subsidiært godkjent; TE forsøker KravTrukketEvent.",pytest -v tests/test_security/test_tilstand_forretningsregler_audit_20260918.py::test_vederlag_krav_trukket_blokkeres_ved_subsidiaer_enighet --runxfail; docs/vedlegg/testbevis-2026-09-22/40_tests_test_security_test_tilstand_forretningsregler_audit_20260918__test_vederlag_krav_trukket_blokkeres_ved_subsidiaer_enighet.log,Exit 1. Fails at line 561 on assert valid (fikk BusinessRuleError: Vederlagskrav kan ikke trekkes tilbake når status er godkjent).,backend/tests/test_security/test_tilstand_forretningsregler_audit_20260918.py:561,True,Reprodusert brudd,Juster valideringsregelen i services/business_rules.py slik at et prinsipalt avslått krav kan trekkes selv om et subsidiært beløp er tilbudt.,Åpen,Åpent funn – reprodusert kjøretidsbrudd,ID rettet fra FR-02 (RTB-01).
tests/test_security/test_tilstand_forretningsregler_audit_20260918.py::test_subsidiaert_standpunkt_paa_null_forsvinner,TFR-04,FR-03,backend/tests/test_security/test_tilstand_forretningsregler_audit_20260918.py:596-659,Åpen,_copy_fields_if_present med require_truthy=True forkaster 0 og 0.0 som falsy.,Service / State machine (services/timeline_service.py),True,AssertionError,FristResponsData / VederlagResponsData med subsidiaer_godkjent_belop=0.0.,pytest -v tests/test_security/test_tilstand_forretningsregler_audit_20260918.py::test_subsidiaert_standpunkt_paa_null_forsvinner --runxfail; docs/vedlegg/testbevis-2026-09-22/41_tests_test_security_test_tilstand_forretningsregler_audit_20260918__test_subsidiaert_standpunkt_paa_null_forsvinner.log,Exit 1. Fails at line 652 on assert state.vederlag.subsidiaer_godkjent_belop == 0.0 (fikk None).,backend/tests/test_security/test_tilstand_forretningsregler_audit_20260918.py:652,True,Reprodusert brudd,Endre feltkopiering i timeline_service.py til å sjekke val is not None i stedet for if val:.,Åpen,Åpent funn – reprodusert kjøretidsbrudd,ID rettet fra FR-03 (RTB-01).
tests/test_security/test_tilstand_forretningsregler_audit_20260918.py::test_godkjent_grunnlag_rapporteres_som_utkast,TFR-05,FR-04,backend/tests/test_security/test_tilstand_forretningsregler_audit_20260918.py:666-715,Åpen,"overordnet_status returnerer UTKAST når grunnlag er godkjent og låst, fordi vederlag/frist er uopprettet.",Domain / State rollup (models/sak_state.py:overordnet_status),True,AssertionError,Sak hvor grunnlag er GODKJENT og vederlag/frist er IKKE_RELEVANT eller UOPPRETTET.,pytest -v tests/test_security/test_tilstand_forretningsregler_audit_20260918.py::test_godkjent_grunnlag_rapporteres_som_utkast --runxfail; docs/vedlegg/testbevis-2026-09-22/42_tests_test_security_test_tilstand_forretningsregler_audit_20260918__test_godkjent_grunnlag_rapporteres_som_utkast.log,Exit 1. Fails at line 712 on assert state.overordnet_status != OverordnetStatus.UTKAST.,backend/tests/test_security/test_tilstand_forretningsregler_audit_20260918.py:712,True,Reprodusert brudd,Juster rollupen i overordnet_status slik at en sak med godkjent grunnlag ikke faller gjennom til default 'UTKAST'.,Åpen,Åpent funn – reprodusert kjøretidsbrudd,ID rettet fra FR-04 (RTB-01).
